file_name,normalized_transcription
lesmis_0019,"L'homme probe s'y dévoue, et, par amour même pour cette foule, il la combat. Mais comme il la sent excusable tout en lui tenant tête!"
lesmis_0020,"comme il la vénère tout en lui résistant! C'est là un de ces moments rares où, en faisant ce qu'on doit faire,"
lesmis_0021,"on sent quelque chose qui déconcerte et qui déconseillerait presque d'aller plus loin; on persiste, il le faut; mais la conscience satisfaite est triste,"
lesmis_0022,"et l'accomplissement du devoir se complique d'un serrement de coeur. Juin 1848 fut, hâtons-nous de le dire, un fait à part,"
lesmis_0023,et presque impossible à classer dans la philosophie de l'histoire.
lesmis_0024,Tous les mots que nous venons de prononcer doivent être écartés quand il s'agit de cette émeute extraordinaire où l'on sentit la sainte anxiété du travail réclamant ses droits.
lesmis_0025,"Il fallut la combattre, et c'était le devoir, car elle attaquait la République. Mais, au fond, que fut juin 1848?"
lesmis_0026,"Une révolte du peuple contre lui-même. Là où le sujet n'est point perdu de vue, il n'y a point de digression;"
lesmis_0027,qu'il nous soit donc permis d'arrêter un moment l'attention du lecteur sur les deux barricades absolument uniques dont nous venons de parler et qui ont caractérisé cette insurrection.
lesmis_0028,L'une encombrait l'entrée du faubourg Saint-Antoine; l'autre défendait l'approche du faubourg du Temple;
lesmis_0029,"ceux devant qui se sont dressés, sous l'éclatant ciel bleu de juin, ces deux effrayants chefs-d'oeuvre de la guerre civile, ne les oublieront jamais."
lesmis_0030,La barricade Saint-Antoine était monstrueuse; elle était haute de trois étages et large de sept cents pieds.
lesmis_0031,"Elle barrait d'un angle à l'autre la vaste embouchure du faubourg, c'est-à-dire trois rues; ravinée, déchiquetée, dentelée, hachée, crénelée d'une immense déchirure, contre-butée de monceaux qui étaient eux-mêmes des bastions,"
lesmis_0032,"poussant des caps çà et là,"
lesmis_0033,"puissamment adossée aux deux grands promontoires de maisons du faubourg, elle surgissait comme une levée cyclopéenne au fond de la redoutable place qui a vu le 14 juillet."
lesmis_0034,Dix-neuf barricades s'étageaient dans la profondeur des rues derrière cette barricade mère.
lesmis_0035,"Rien qu'à la voir, on sentait dans le faubourg l'immense souffrance agonisante arrivée à cette minute extrême où une détresse veut devenir une catastrophe."
lesmis_0036,"De quoi était faite cette barricade? De l'écroulement de trois maisons à six étages, démolies exprès, disaient les uns."
lesmis_0037,"Du prodige de toutes les colères, disaient les autres. Elle avait l'aspect lamentable de toutes les constructions de la haine: la ruine."
lesmis_0038,On pouvait dire: qui a bâti cela? On pouvait dire aussi: qui a détruit cela? C'était l'improvisation du bouillonnement.
lesmis_0039,Tiens! cette porte! cette grille! cet auvent! ce chambranle! ce réchaud brisé! cette marmite fêlée! Donnez tout!
lesmis_0040,"jetez tout! poussez, roulez, piochez, démantelez, bouleversez, écroulez tout! C'était la collaboration du pavé, du moellon,"
lesmis_0041,"de la poutre, de la barre de fer, du chiffon, du carreau défoncé, de la chaise dépaillée, du trognon de chou,"
lesmis_0042,"de la loque, de la guenille, et de la malédiction. C'était grand et c'était petit."
lesmis_0043,C'était l'abîme parodié sur place par le tohu-bohu. La masse près de l'atome; le pan de mur arraché et l'écuelle cassée;
lesmis_0044,"une fraternisation menaçante de tous les débris; Sisyphe avait jeté là son rocher et Job son tesson. En somme, terrible."
lesmis_0045,"C'était l'acropole des va-nu-pieds. Des charrettes renversées accidentaient le talus; un immense haquet y était étalé en travers,"
lesmis_0046,"l'essieu vers le ciel, et semblait une balafre sur cette façade tumultueuse, un omnibus, hissé gaîment à force de bras tout au sommet de l'entassement,"
lesmis_0047,"comme si les architectes de cette sauvagerie eussent voulu ajouter la gaminerie à l'épouvante, offrait son timon dételé à on ne sait quels chevaux de l'air."
lesmis_0048,"Cet amas gigantesque, alluvion de l'émeute, figurait à l'esprit un Ossa sur Pélion de toutes les révolutions; 93 sur 89,"
lesmis_0049,"le 9 thermidor sur le 10 août, le 18 brumaire sur le 21 janvier, vendémiaire sur prairial,"
lesmis_0050,1848 sur 1830.
lesmis_0051,"La place en valait la peine, et cette barricade était digne d'apparaître à l'endroit même où la Bastille avait disparu. Si l'océan faisait des digues,"
lesmis_0052,c'est ainsi qu'il les bâtirait. La furie du flot était empreinte sur cet encombrement difforme. Quel flot? la foule. On croyait voir du vacarme pétrifié.
lesmis_0053,"On croyait entendre bourdonner, au-dessus de cette barricade,"
lesmis_0054,"comme si elles eussent été là sur leur ruche, les énormes abeilles ténébreuses du progrès violent. Était-ce une broussaille? était-ce une bacchanale?"
lesmis_0055,était-ce une forteresse? Le vertige semblait avoir construit cela à coups d'aile.
lesmis_0056,"Il y avait du cloaque dans cette redoute et quelque chose d'olympien dans ce fouillis. On y voyait, dans un pêle-mêle plein de désespoir, des chevrons de toits,"
lesmis_0057,"des morceaux de mansardes avec leur papier peint, des châssis de fenêtres avec toutes leurs vitres plantés dans les décombres, attendant le canon, des cheminées descellées, des armoires, des tables, des bancs,"
lesmis_0058,"un sens dessus dessous hurlant, et ces mille choses indigentes, rebuts même du mendiant, qui contiennent à la fois de la fureur et du néant."
lesmis_0059,"On eût dit que c'était le haillon d'un peuple, haillon de bois, de fer, de bronze, de pierre, et que le faubourg Saint-Antoine l'avait poussé là à sa porte d'un colossal coup de balai,"
lesmis_0060,"faisant de sa misère sa barricade. Des blocs pareils à des billots, des chaînes disloquées, des charpentes à tasseaux ayant forme de potences,"
lesmis_0061,"des roues horizontales sortant des décombres, amalgamaient à cet édifice de l'anarchie la sombre figure des vieux supplices soufferts par le peuple."
lesmis_0062,La barricade Saint-Antoine faisait arme de tout; tout ce que la guerre civile peut jeter à la tête de la société sortait de là;
lesmis_0063,"ce n'était pas du combat, c'était du paroxysme;"
lesmis_0064,"les carabines qui défendaient cette redoute, parmi lesquelles il y avait quelques espingoles, envoyaient des miettes de faïence, des osselets, des boutons d'habit, jusqu'à des roulettes de tables de nuit, projectiles dangereux à cause du cuivre."
lesmis_0065,"Cette barricade était forcenée; elle jetait dans les nuées une clameur inexprimable; à de certains moments, provoquant l'armée, elle se couvrait de foule et de tempête,"
lesmis_0066,une cohue de têtes flamboyantes la couronnait; un fourmillement l'emplissait;
lesmis_0067,"elle avait une crête épineuse de fusils, de sabres, de bâtons, de haches, de piques et de bayonnettes; un vaste drapeau rouge y claquait dans le vent;"
lesmis_0068,"on y entendait les cris du commandement, les chansons d'attaque, des roulements de tambours, des sanglots de femmes, et l'éclat de rire ténébreux des meurt-de-faim."
lesmis_0069,"Elle était démesurée et vivante; et, comme du dos d'une bête électrique, il en sortait un pétillement de foudres."
lesmis_0070,L'esprit de révolution couvrait de son nuage ce sommet où grondait cette voix du peuple qui ressemble à la voix de Dieu;
lesmis_0071,une majesté étrange se dégageait de cette titanique hottée de gravats. C'était un tas d'ordures et c'était le Sinaï.
lesmis_0072,"Comme nous l'avons dit plus haut, elle attaquait au nom de la Révolution, quoi? la Révolution."
lesmis_0073,"Elle, cette barricade, le hasard, le désordre, l'effarement, le malentendu, l'inconnu, elle avait en face d'elle l'assemblée constituante,"
lesmis_0074,"la souveraineté du peuple, le suffrage universel, la nation, la République; et c'était la _Carmagnole_ défiant la _Marseillaise_."
lesmis_0075,"Défi insensé, mais héroïque, car ce vieux faubourg est un héros. Le faubourg et sa redoute se prêtaient main-forte."
lesmis_0076,"Le faubourg s'épaulait à la redoute, la redoute s'acculait au faubourg."
lesmis_0077,"La vaste barricade s'étalait comme une falaise où venait se briser la stratégie des généraux d'Afrique. Ses cavernes, ses excroissances, ses verrues,"
lesmis_0078,"ses gibbosités, grimaçaient, pour ainsi dire, et ricanaient sous la fumée."
lesmis_0079,"La mitraille s'y évanouissait dans l'informe; les obus s'y enfonçaient, s'y engloutissaient, s'y engouffraient; les boulets n'y réussissaient qu'à trouer des trous;"
lesmis_0080,à quoi bon canonner le chaos?
lesmis_0081,"Et les régiments, accoutumés aux plus farouches visions de la guerre, regardaient d'un oeil inquiet cette espèce de redoute bête fauve,"
lesmis_0082,"par le hérissement sanglier, et par l'énormité montagne."
lesmis_0083,"À un quart de lieue de là, de l'angle de la rue du Temple qui débouche sur le boulevard près du Château-d'Eau,"
lesmis_0084,"si l'on avançait hardiment la tête en dehors de la pointe formée par la devanture du magasin Dallemagne, on apercevait au loin,"
lesmis_0085,"au delà du canal, dans la rue qui monte les rampes de Belleville, au point culminant de la montée, une muraille étrange atteignant au deuxième étage des façades, sorte de trait d'union des maisons de droite aux maisons de gauche,"
lesmis_0086,"comme si la rue avait replié d'elle-même son plus haut mur pour se fermer brusquement. Ce mur était bâti avec des pavés. Il était droit, correct,"
lesmis_0087,"froid, perpendiculaire, nivelé à l'équerre, tiré au cordeau, aligné au fil à plomb. Le ciment y manquait sans doute,"
lesmis_0088,"mais comme à de certains murs romains, sans troubler sa rigide architecture. À sa hauteur on devinait sa profondeur."
lesmis_0089,L'entablement était mathématiquement parallèle au soubassement.
lesmis_0090,"On distinguait d'espace en espace, sur sa surface grise, des meurtrières presque invisibles qui ressemblaient à des fils noirs."
lesmis_0091,Ces meurtrières étaient séparées les unes des autres par des intervalles égaux. La rue était déserte à perte de vue. Toutes les fenêtres et toutes les portes fermées.
lesmis_0092,"Au fond se dressait ce barrage qui faisait de la rue un cul-de-sac; mur immobile et tranquille; on n'y voyait personne,"
lesmis_0093,"on n'y entendait rien; pas un cri, pas un bruit, pas un souffle. Un sépulcre."
lesmis_0094,L'éblouissant soleil de juin inondait de lumière cette chose terrible. C'était la barricade du faubourg du Temple.
lesmis_0095,"Dès qu'on arrivait sur le terrain et qu'on l'apercevait, il était impossible, même aux plus hardis, de ne pas devenir pensif devant cette apparition mystérieuse."
lesmis_0096,"C'était ajusté, emboîté, imbriqué, rectiligne, symétrique, et funèbre. Il y avait là de la science et des ténèbres."
lesmis_0097,On sentait que le chef de cette barricade était un géomètre ou un spectre. On regardait cela et l'on parlait bas.
lesmis_0098,"De temps en temps, si quelqu'un, soldat, officier ou représentant du peuple, se hasardait à traverser la chaussée solitaire,"
lesmis_0099,"on entendait un sifflement aigu et faible, et le passant tombait blessé ou mort, ou,"
lesmis_0100,"s'il échappait, on voyait s'enfoncer dans quelque volet fermé, dans un entre-deux de moellons, dans le plâtre d'un mur, une balle."
lesmis_0101,Quelquefois un biscaïen.
lesmis_0102,"Car les hommes de la barricade s'étaient fait de deux tronçons de tuyaux de fonte du gaz bouchés à un bout avec de l'étoupe et de la terre à poêle, deux petits canons."
lesmis_0103,"Pas de dépense de poudre inutile. Presque tout coup portait. Il y avait quelques cadavres çà et là, et des flaques de sang sur les pavés."
lesmis_0104,Je me souviens d'un papillon blanc qui allait et venait dans la rue. L'été n'abdique pas.
lesmis_0105,"Aux environs, le dessous des portes cochères était encombré de blessés. On se sentait là visé par quelqu'un qu'on ne voyait point,"
lesmis_0106,et l'on comprenait que toute la longueur de la rue était couchée en joue. Massés derrière l'espèce de dos d'âne
lesmis_0107,"que fait à l'entrée du faubourg du Temple le pont cintré du canal, les soldats de la colonne d'attaque observaient, graves et recueillis,"
lesmis_0108,"cette redoute lugubre, cette immobilité, cette impassibilité, d'où la mort sortait."
lesmis_0109,Quelques-uns rampaient à plat ventre jusqu'au haut de la courbe du pont en ayant soin que leurs shakos ne passassent point.
lesmis_0110,Le vaillant colonel Monteynard admirait cette barricade avec un frémissement.--_Comme c'est bâti!_ disait-il à un représentant. _Pas un pavé ne déborde de l'autre.
lesmis_0111,"C'est de la porcelaine._--En ce moment une balle lui brisa sa croix sur sa poitrine, et il tomba. --Les lâches! disait-on."
lesmis_0112,Mais qu'ils se montrent donc! qu'on les voie! ils n'osent pas! ils se
lesmis_0113,"--La barricade du faubourg du Temple, défendue par quatre-vingts hommes, attaquée par dix mille, tint trois jours."
lesmis_0114,"Le quatrième, on fit comme à Zaatcha et à Constantine, on perça les maisons, on vint par les toits, la barricade fut prise."
lesmis_0115,"Pas un des quatre-vingts lâches ne songea à fuir; tous y furent tués, excepté le chef, Barthélemy, dont nous parlerons tout à l'heure."
lesmis_0116,La barricade Saint-Antoine était le tumulte des tonnerres; la barricade du Temple était le silence.
lesmis_0117,Il y avait entre ces deux redoutes la différence du formidable au sinistre. L'une semblait une gueule; l'autre un masque.
lesmis_0118,"En admettant que la gigantesque et ténébreuse insurrection de juin fût composée d'une colère et d'une énigme, on sentait dans la première barricade le dragon et derrière la seconde le sphinx."
lesmis_0119,"Ces deux forteresses avaient été édifiées par deux hommes nommés, l'un Cournet, l'autre Barthélemy. Cournet avait fait la barricade Saint-Antoine;"
lesmis_0120,Barthélemy la barricade du Temple. Chacune d'elles était l'image de celui qui l'avait bâtie.
lesmis_0121,"Cournet était un homme de haute stature; il avait les épaules larges, la face rouge, le poing écrasant, le coeur hardi, l'âme loyale,"
lesmis_0122,"l'oeil sincère et terrible. Intrépide, énergique, irascible, orageux; le plus cordial des hommes, le plus redoutable des combattants."
lesmis_0123,"La guerre, la lutte, la mêlée, étaient son air respirable et le mettaient de belle humeur. Il avait été officier de marine,"
lesmis_0124,"et, à ses gestes et à sa voix, on devinait qu'il sortait de l'océan et qu'il venait de la tempête; il continuait l'ouragan dans la bataille."
lesmis_0125,"Au génie près, il y avait en Cournet quelque chose de Danton, comme, à la divinité près, il y avait en Danton quelque chose d'Hercule."
lesmis_0126,"Barthélemy, maigre, chétif, pâle, taciturne,"
lesmis_0127,"était une espèce de gamin tragique qui, souffleté par un sergent de ville, le guetta, l'attendit, et le tua, et, à dix-sept ans, fut mis au bagne."
lesmis_0128,"Il en sortit, et fît cette barricade. Plus tard, chose fatale, à Londres, proscrits tous deux, Barthélemy tua Cournet."
lesmis_0129,Ce fut un duel funèbre.
lesmis_0130,"Quelque temps après, pris dans l'engrenage d'une de ces mystérieuses aventures où la passion est mêlée, catastrophes où la justice française voit des circonstances atténuantes et où la justice anglaise ne voit que la mort,"
lesmis_0131,"Barthélemy fut pendu. La sombre construction sociale est ainsi faite que, grâce au dénûment matériel, grâce à l'obscurité morale,"
lesmis_0132,"ce malheureux être qui contenait une intelligence, ferme à coup sûr, grande peut-être, commença par le bagne en France"
lesmis_0133,"et finit par le gibet en Angleterre. Barthélemy, dans les occasions, n'arborait qu'un drapeau; le drapeau noir."
lesmis_0134,Livre
lesmis_0135,La guerre entre quatre murs Chapitre II Que faire dans l'abîme à moins que l'on ne cause?
lesmis_0136,"Seize ans comptent dans la souterraine éducation de l'émeute, et juin 1848 en savait plus long que juin 1832."
lesmis_0137,"Aussi la barricade de la rue de la Chanvrerie n'était-elle qu'une ébauche et qu'un embryon,"
lesmis_0138,"comparée aux deux barricades colosses que nous venons d'esquisser; mais, pour l'époque, elle était redoutable."
lesmis_0139,"Les insurgés, sous l'oeil d'Enjolras, car Marius ne regardait plus rien, avaient mis la nuit à profit."
lesmis_0140,"La barricade avait été non seulement réparée, mais augmentée. On l'avait exhaussée de deux pieds."
lesmis_0141,Des barres de fer plantées dans les pavés ressemblaient à des lances en arrêt.
lesmis_0142,Toutes sortes de décombres ajoutés et apportés de toutes parts compliquaient l'enchevêtrement extérieur. La redoute
lesmis_0143,avait été savamment refaite en muraille au dedans et en broussaille au dehors.
lesmis_0144,"On avait rétabli l'escalier de pavés qui permettait d'y monter comme à un mur de citadelle. On avait fait le ménage de la barricade,"
lesmis_0145,"désencombré la salle basse, pris la cuisine pour ambulance, achevé le pansement des blessés, recueilli la poudre éparse à terre et sur les tables, fondu des balles,"
lesmis_0146,"fabriqué des cartouches, épluché de la charpie, distribué les armes tombées, nettoyé l'intérieur de la redoute, ramassé les débris, emporté les cadavres."
lesmis_0147,On déposa les morts en tas dans la ruelle Mondétour dont on était toujours maître. Le pavé a été longtemps rouge à cet endroit.
lesmis_0148,Il y avait parmi les morts quatre gardes nationaux de la banlieue. Enjolras fit mettre de côté leurs uniformes.
lesmis_0149,"Enjolras avait conseillé deux heures de sommeil. Un conseil d'Enjolras était une consigne. Pourtant, trois ou quatre seulement en profitèrent."
lesmis_0150,Feuilly employa ces deux heures à la gravure de cette inscription sur le mur qui faisait face au cabaret: VIVENT LES PEUPLES!
lesmis_0151,"Ces trois mots, creusés dans le moellon avec un clou, se lisaient encore sur cette muraille en 1848."
lesmis_0152,Les trois femmes avaient profité du répit de la nuit pour disparaître définitivement; ce qui faisait respirer les insurgés plus à l'aise.
lesmis_0153,Elles avaient trouvé moyen de se réfugier dans quelque maison voisine. La plupart des blessés pouvaient et voulaient encore combattre.
lesmis_0154,"Il y avait, sur une litière de matelas et de bottes de paille, dans la cuisine devenue l'ambulance, cinq hommes gravement atteints, dont deux gardes municipaux."
lesmis_0155,Les gardes municipaux furent pansés les premiers. Il ne resta plus dans la salle basse que Mabeuf sous son drap noir et Javert lié au poteau.
lesmis_0156,"--C'est ici la salle des morts, dit Enjolras."
lesmis_0157,"Dans l'intérieur de cette salle, à peine éclairée d'une chandelle, tout au fond, la table mortuaire étant derrière le poteau comme une barre horizontale, une sorte de grande croix vague résultait de Javert debout et de Mabeuf couché."
lesmis_0158,"Le timon de l'omnibus, quoique tronqué par la fusillade, était encore assez debout pour qu'on pût y accrocher un drapeau."
lesmis_0159,"Enjolras, qui avait cette qualité d'un chef, de toujours faire ce qu'il disait,"
lesmis_0160,attacha à cette hampe l'habit troué et sanglant du vieillard tué. Aucun repas n'était plus possible. Il n'y avait ni pain ni viande.
lesmis_0161,"Les cinquante hommes de la barricade, depuis seize heures qu'ils étaient là, avaient eu vite épuisé les maigres provisions du cabaret."
lesmis_0162,"À un instant donné, toute barricade qui tient devient inévitablement le radeau de la Méduse. Il fallut se résigner à la faim."
lesmis_0163,"On était aux premières heures de cette journée spartiate du 6 juin où, dans la barricade Saint-Merry, Jeanne, entouré d'insurgés qui demandaient du pain, à tous ces combattants criant: À manger! répondait: Pourquoi? il est trois heures. À quatre heures nous serons morts."
lesmis_0164,"Comme on ne pouvait plus manger, Enjolras défendit de boire. Il interdit le vin et rationna l'eau-de-vie."
lesmis_0165,"On avait trouvé dans la cave une quinzaine de bouteilles pleines, hermétiquement cachetées. Enjolras et Combeferre les examinèrent."
lesmis_0166,"Combeferre en remontant dit:--C'est du vieux fonds du père Hucheloup qui a commencé par être épicier.--Cela doit être du vrai vin, observa Bossuet."
lesmis_0167,"Il est heureux que Grantaire dorme. S'il était debout, on aurait de la peine à sauver ces"
lesmis_0168,"--Enjolras, malgré les murmures, mit son veto sur les quinze bouteilles, et afin que personne n'y touchât et qu'elles fussent comme sacrées, il"
lesmis_0169,"Vers deux heures du matin, on se compta. Ils étaient encore trente-sept. Le jour commençait à paraître."
lesmis_0170,"On venait d'éteindre la torche qui avait été replacée dans son alvéole de pavés. L'intérieur de la barricade, cette espèce de petite cour prise sur la rue,"
lesmis_0171,"était noyé de ténèbres et ressemblait, à travers la vague horreur crépusculaire, au pont d'un navire désemparé."
lesmis_0172,"Les combattants allant et venant s'y mouvaient comme des formes noires. Au-dessus de cet effrayant nid d'ombre, les étages des maisons muettes"
lesmis_0173,s'ébauchaient lividement; tout en haut les cheminées blêmissaient. Le ciel avait cette charmante nuance indécise qui est peut-être le blanc et peut-être le bleu.
lesmis_0174,Des oiseaux y volaient avec des cris de bonheur.
lesmis_0175,"La haute maison qui faisait le fond de la barricade, étant tournée vers le levant, avait sur son toit un reflet rose."
lesmis_0176,"À la lucarne du troisième étage, le vent du matin agitait les cheveux gris sur la tête de l'homme mort."
lesmis_0177,"--Je suis charmé qu'on ait éteint la torche, disait Courfeyrac à Feuilly. Cette torche effarée au vent m'ennuyait. Elle avait l'air d'avoir"
lesmis_0178,"La lumière des torches ressemble à la sagesse des lâches; elle éclaire mal, parce qu'elle tremble."
lesmis_0179,"L'aube éveille les esprits comme les oiseaux; tous causaient. Joly, voyant un chat rôder sur une gouttière, en extrayait la philosophie."
lesmis_0180,"--Qu'est-ce que le chat? s'écriait-il. C'est un correctif. Le bon Dieu, ayant fait la souris, a dit: Tiens, j'ai fait une bêtise. Et il"
lesmis_0181,"Le chat c'est l'erratum de la souris. La souris, plus le chat, c'est l'épreuve revue et corrigée de la création."
lesmis_0182,"Combeferre, entouré d'étudiants et d'ouvriers, parlait des morts, de Jean Prouvaire, de Bahorel, de Mabeuf,"
lesmis_0183,"et même du Cabuc, et de la tristesse sévère d'Enjolras. Il disait:"
lesmis_0184,"--Harmodius et Aristogiton, Brutus, Chéréas, Stephanus, Cromwell, Charlotte Corday, Sand,"
lesmis_0185,"tous ont eu, après le coup, leur moment d'angoisse."
lesmis_0186,"Notre coeur est si frémissant et la vie humaine est un tel mystère que, même dans un meurtre civique, même dans un meurtre libérateur, s'il y en a,"
lesmis_0187,le remords d'avoir frappé un homme dépasse la joie d'avoir servi le genre humain.
lesmis_0188,"Et, ce sont là les méandres de la parole échangée, une minute après, par une transition venue des vers de Jean Prouvaire, Combeferre comparait entre eux les traducteurs des Géorgiques, Raux à Cournand, Cournand à Delille,"
lesmis_0189,"indiquant les quelques passages traduits par Malfilâtre, particulièrement les prodiges de la mort de César; et par ce mot, César, la causerie revenait à Brutus."
lesmis_0190,"--César, dit Combeferre, est tombé justement. Cicéron a été sévère pour César, et il a eu raison. Cette sévérité-là n'est point la diatribe."
lesmis_0191,"Quand Zoïle insulte Homère, quand Mævius insulte Virgile, quand Visé insulte Molière, quand Pope insulte Shakespeare, quand Fréron insulte Voltaire, c'est une vieille loi d'envie et de haine qui s'exécute;"
lesmis_0192,"les génies attirent l'injure, les grands hommes sont toujours plus ou moins aboyés. Mais Zoïle et Cicéron, c'est deux."
lesmis_0193,"Cicéron est un justicier par la pensée de même que Brutus est un justicier par l'épée. Je blâme, quant à moi, cette dernière justice-là, le glaive;"
lesmis_0194,"mais l'antiquité l'admettait. César, violateur du Rubicon,"
lesmis_0195,"conférant, comme venant de lui, les dignités qui venaient du peuple, ne se levant pas à l'entrée du sénat, faisait, comme dit Eutrope, des choses de roi et presque de tyran,"
lesmis_0196,"_regia ac pene tyrannica_. C'était un grand homme; tant pis, ou tant mieux; la leçon est plus haute."
lesmis_0197,Ses vingt-trois blessures me touchent moins que le crachat au front de Jésus-Christ. César est poignardé par les sénateurs; Christ est souffleté par les valets.
lesmis_0198,"À plus d'outrage, on sent le dieu. Bossuet, dominant les causeurs du haut d'un tas de pavés, s'écriait, la carabine à la main:"
lesmis_0199,"--Ô Cydathenæum, ô Myrrhinus, ô Probalinthe, ô grâces de l'AEantide!"
lesmis_0200,Oh! qui me donnera de prononcer les vers d'Homère comme un Grec de Laurium ou d'Édaptéon!
lesmis_0201,Livre
lesmis_0202,La guerre entre quatre murs Chapitre III Éclaircissement et assombrissement
lesmis_0203,Enjolras était allé faire une reconnaissance. Il était sorti par la ruelle Mondétour en serpentant le long des maisons.
lesmis_0204,"Les insurgés, disons-le, étaient pleins d'espoir."
lesmis_0205,La façon dont ils avaient repoussé l'attaque de la nuit leur faisait presque dédaigner d'avance l'attaque du point du jour. Ils l'attendaient et en souriaient.
lesmis_0206,Ils ne doutaient pas plus de leur succès que de leur cause. D'ailleurs un secours allait évidemment leur venir. Ils y comptaient.
lesmis_0207,"Avec cette facilité de prophétie triomphante qui est une des forces du Français combattant,"
lesmis_0208,"ils divisaient en trois phases certaines la journée qui allait s'ouvrir: à six heures du matin, un régiment, «qu'on avait travaillé»,"
lesmis_0209,"tournerait; à midi, l'insurrection de tout Paris; au coucher du soleil, la révolution."
lesmis_0210,"On entendait le tocsin de Saint-Merry qui ne s'était pas tu une minute depuis la veille; preuve que l'autre barricade, la grande, celle de Jeanne,"
lesmis_0211,tenait toujours.
lesmis_0212,Toutes ces espérances s'échangeaient d'un groupe à l'autre dans une sorte de chuchotement gai et redoutable qui ressemblait au bourdonnement de guerre d'une ruche d'abeilles.
lesmis_0213,Enjolras reparut. Il revenait de sa sombre promenade d'aigle dans l'obscurité extérieure.
lesmis_0214,"Il écouta un instant toute cette joie les bras croisés, une main sur sa bouche. Puis,"
lesmis_0215,"frais et rose dans la blancheur grandissante du matin, il dit: --Toute l'armée de Paris donne."
lesmis_0216,Un tiers de cette armée pèse sur la barricade où vous êtes. De plus la garde nationale.
lesmis_0217,J'ai distingué les shakos du cinquième de ligne et les guidons de la sixième légion. Vous serez attaqués dans une heure.
lesmis_0218,"Quant au peuple, il a bouillonné hier, mais ce matin il ne bouge pas. Rien à attendre, rien à espérer."
lesmis_0219,Pas plus un faubourg qu'un régiment. Vous êtes abandonnés.
lesmis_0220,"Ces paroles tombèrent sur le bourdonnement des groupes, et y firent l'effet que fait sur un essaim la première goutte de l'orage. Tous restèrent muets."
lesmis_0221,Il y eut un moment d'inexprimable angoisse où l'on eût entendu voler la mort. Ce moment fut court.
lesmis_0222,"Une voix, du fond le plus obscur des groupes, cria à Enjolras: --Soit."
lesmis_0223,"Élevons la barricade à vingt pieds de haut, et restons-y tous. Citoyens, faisons la protection des cadavres."
lesmis_0224,"Montrons que, si le peuple abandonne les républicains, les républicains n'abandonnent pas le peuple."
lesmis_0225,Cette parole dégageait du pénible nuage des anxiétés individuelles la pensée de tous. Une acclamation enthousiaste l'accueillit.
lesmis_0226,"On n'a jamais su le nom de l'homme qui avait parlé ainsi; c'était quelque porte-blouse ignoré, un inconnu, un oublié,"
lesmis_0227,"un passant héros, ce grand anonyme toujours mêlé aux crises humaines et aux genèses sociales qui, à un instant donné,"
lesmis_0228,"dit d'une façon suprême le mot décisif,"
lesmis_0229,"et qui s'évanouit dans les ténèbres après avoir représenté une minute, dans la lumière d'un éclair, le peuple et Dieu."
lesmis_0230,"Cette résolution inexorable était tellement dans l'air du 6 juin 1832 que,"
lesmis_0231,"presque à la même heure, dans la barricade de Saint-Merry, les insurgés poussaient cette clameur demeurée historique et consignée au procès:"
